Name,Longitude,Latitude,Type,925764
中国矿业大学(北京)学院路校区,116.352512,39.996664,科教文化服务;学校;高等院校,437229
北方工业大学,116.206746,39.926245,科教文化服务;学校;高等院校,844505
北京科技大学管庄校区,116.59124,39.919657,科教文化服务;学校;高等院校,107490
中国农业大学西校区,116.278584,40.025979,科教文化服务;学校;高等院校,961287
首都师范大学(阜成路北三街),116.316561,39.927407,科教文化服务;学校;高等院校,832031
北京联合大学,116.506668,39.860974,科教文化服务;学校;高等院校,134334
中国人民大学北校区,116.309927,39.975207,科教文化服务;学校;高等院校,822977
北京大学万柳学区,116.29734,39.960831,科教文化服务;学校;高等院校,592029
中央财经大学(清河校区),116.324285,40.031852,科教文化服务;学校;高等院校,914879
北京理工大学魏公村校区,116.310933,39.963096,科教文化服务;科教文化场所;科教文化场所,537699
首都师范大学(来广营校区),116.455208,40.021055,科教文化服务;学校;高等院校,877717
北京建设大学,116.276974,40.020656,科教文化服务;学校;高等院校,205392
石景山区业余大学(东校区),116.200167,39.91695,科教文化服务;学校;高等院校,611840
北京市新媒体技师学院,116.359649,39.75913,科教文化服务;学校;高等院校,966776
北京外国语大学北校区,116.308327,39.958903,科教文化服务;学校;高等院校,55290
北京信息科技大学清河校区,116.343366,40.043334,科教文化服务;学校;高等院校,650257
大千艺龄学堂(万寿路校区),116.291658,39.908177,科教文化服务;培训机构;培训机构,589593
文化遗产传承应用国家级虚拟仿真实验教学中心北京联合大学,116.354231,39.977605,科教文化服务;学校;高等院校,407693
北京石油化工学院康庄校区,116.313632,39.7568,科教文化服务;学校;高等院校,234963
拉力宝黄埔学院,116.455283,39.793012,科教文化服务;科教文化场所;科教文化场所,476508
北京信息科技大学清河小营校区(南区),116.349736,40.036412,科教文化服务;学校;高等院校,89218
中国科学院大学,116.33069,39.982604,科教文化服务;学校;高等院校,832111
北京外国语大学东校区十二大,116.313786,39.956539,科教文化服务;学校;高等院校,341041
华北电力大学,116.305329,40.087358,科教文化服务;学校;高等院校,150261
北京建筑大学大兴校区,116.286476,39.744053,科教文化服务;学校;高等院校,521886
北京开放大学(海淀分校),116.345471,39.986895,科教文化服务;科研机构;科研机构,349811
金风大学,116.530523,39.756685,科教文化服务;学校;职业技术学校,712167
北京工业大学通州校区,116.66906,39.927873,科教文化服务;学校;高等院校,826280
北京城市学院航天城校区,116.256226,40.08721,科教文化服务;学校;高等院校,195017
北京语言大学(西区),116.343322,39.993156,科教文化服务;学校;高等院校,5968
北京工商大学良乡主校区,116.166594,39.71829,科教文化服务;学校;高等院校,191677
北京航空航天大学沙河校区,116.275927,40.154657,科教文化服务;学校;高等院校,914310
北京邮电大学宏福校区,116.37305,40.106253,科教文化服务;学校;高等院校,444816
中央财经大学沙河校区,116.282054,40.171569,科教文化服务;学校;高等院校,273931
首都师范大学良乡校区,116.175305,39.713678,科教文化服务;学校;高等院校,741274
北京大学,116.310918,39.992873,科教文化服务;学校;高等院校,780899
中国民航安全学院,116.537002,40.019698,科教文化服务;学校;学校,631866
中国矿业大学(北京)沙河校区,116.262571,40.151202,科教文化服务;学校;高等院校,882808
中国石油大学(北京),116.250335,40.218284,科教文化服务;学校;高等院校,421832
北京中医药大学(良乡校区),116.16707,39.712662,科教文化服务;学校;高等院校,353117
北京理工大学良乡校区南校区,116.170078,39.730712,科教文化服务;学校;高等院校,327153
中南林业科技大学北京教学点,116.339582,39.722207,科教文化服务;学校;高等院校,64523
中国政法大学昌平校区,116.246485,40.22129,科教文化服务;学校;高等院校,61816
北京理工大学房山分校,116.085044,39.721121,科教文化服务;学校;高等院校,944757
中央民族大学丰台校区,116.113117,39.807105,科教文化服务;学校;高等院校,779788
中国人民大学通州校区(建设中),116.741717,39.910576,科教文化服务;学校;高等院校,665112
国家开放大学魏善庄校区,116.406871,39.680509,科教文化服务;学校;高等院校,333080
首都体育学院凤凰岭校区,116.112476,40.078323,科教文化服务;学校;高等院校,942886
北京师范大学昌平校园,116.263091,40.15083,科教文化服务;学校;高等院校,225471
中国中车大学,116.200165,39.84832,科教文化服务;学校;高等院校,668240
北京理工大学良乡校区北校区,116.170078,39.731389,科教文化服务;学校;高等院校,66432
中国社会科学院大学良乡校区,116.179506,39.737488,科教文化服务;学校;高等院校,66410
北京师范大学&中央财经大学(联合校区),116.297342,39.785129,科教文化服务;学校;高等院校,113845
北京老干部大学(大兴分校),116.345603,39.728602,科教文化服务;学校;成人教育,838311
华北电力大学沙河院区,116.250971,40.114683,科教文化服务;学校;高等院校,317426
北京化工大学昌平校区,116.155105,40.252676,科教文化服务;学校;高等院校,480900
